Chromosome,Map_Type,Position_cM,Position_bp,Group
1,ZhongmuNo.1,0,745191,NotImp
1,ZhongmuNo.1,0,919378,NotImp
1,ZhongmuNo.1,0,1059005,NotImp
1,ZhongmuNo.1,0,1066463,NotImp
1,ZhongmuNo.1,0,1066466,NotImp
1,ZhongmuNo.1,0.01,1066514,NotImp
1,ZhongmuNo.1,0.55,1219834,NotImp
1,ZhongmuNo.1,0.63,1238234,NotImp
1,ZhongmuNo.1,0.63,1238275,NotImp
1,ZhongmuNo.1,0.63,1238276,NotImp
1,ZhongmuNo.1,0.63,1256180,NotImp
1,ZhongmuNo.1,0.64,1260662,NotImp
1,ZhongmuNo.1,0.64,1260780,NotImp
1,ZhongmuNo.1,0.64,1393857,NotImp
1,ZhongmuNo.1,0.64,1646652,NotImp
1,ZhongmuNo.1,0.64,1671569,NotImp
1,ZhongmuNo.1,0.64,1923588,NotImp
1,ZhongmuNo.1,0.64,3312051,NotImp
1,ZhongmuNo.1,2.95,3698478,NotImp
1,ZhongmuNo.1,2.95,4222290,NotImp
1,ZhongmuNo.1,2.95,4244291,NotImp
1,ZhongmuNo.1,2.95,4718674,NotImp
1,ZhongmuNo.1,2.95,4834622,NotImp
1,ZhongmuNo.1,2.95,5168489,NotImp
1,ZhongmuNo.1,2.95,5679993,NotImp
1,ZhongmuNo.1,2.95,6020264,NotImp
1,ZhongmuNo.1,2.95,6265544,NotImp
1,ZhongmuNo.1,7.35,6265688,NotImp
1,ZhongmuNo.1,7.35,6887824,NotImp
1,ZhongmuNo.1,7.8,7781013,NotImp
1,ZhongmuNo.1,7.8,7919582,NotImp
1,ZhongmuNo.1,7.8,8439122,NotImp
1,ZhongmuNo.1,28.53,8504507,NotImp
1,ZhongmuNo.1,28.53,8753095,NotImp
1,ZhongmuNo.1,28.53,8789527,NotImp
1,ZhongmuNo.1,28.53,9171839,NotImp
1,ZhongmuNo.1,28.53,9173727,NotImp
1,ZhongmuNo.1,28.67,10596294,NotImp
1,ZhongmuNo.1,28.67,10596332,NotImp
1,ZhongmuNo.1,28.79,10596495,NotImp
1,ZhongmuNo.1,28.8,10610898,NotImp
1,ZhongmuNo.1,28.8,10611081,NotImp
1,ZhongmuNo.1,28.8,10651676,NotImp
1,ZhongmuNo.1,28.8,10651678,NotImp
1,ZhongmuNo.1,28.8,11072620,NotImp
1,ZhongmuNo.1,28.8,11075491,NotImp
1,ZhongmuNo.1,28.8,11075649,NotImp
1,ZhongmuNo.1,31.25,11234850,NotImp
1,ZhongmuNo.1,35.93,11245947,NotImp
1,ZhongmuNo.1,35.94,11245968,NotImp
1,ZhongmuNo.1,37.49,11246123,NotImp
1,ZhongmuNo.1,37.49,11246126,NotImp
1,ZhongmuNo.1,40.98,11617465,NotImp
1,ZhongmuNo.1,40.98,11617646,NotImp
1,ZhongmuNo.1,40.98,11617662,NotImp
1,ZhongmuNo.1,48.9,11618183,NotImp
1,ZhongmuNo.1,48.97,11669079,NotImp
1,ZhongmuNo.1,48.97,11755458,NotImp
1,ZhongmuNo.1,48.97,11755565,NotImp
1,ZhongmuNo.1,48.97,11855542,NotImp
1,ZhongmuNo.1,48.97,11855619,NotImp
1,ZhongmuNo.1,49.11,11871525,NotImp
1,ZhongmuNo.1,49.12,12128668,NotImp
1,ZhongmuNo.1,49.12,14137043,NotImp
1,ZhongmuNo.1,49.12,15098548,NotImp
1,ZhongmuNo.1,51.13,15206272,NotImp
1,ZhongmuNo.1,51.13,15445731,NotImp
1,ZhongmuNo.1,51.13,15445910,NotImp
1,ZhongmuNo.1,51.13,15458741,NotImp
1,ZhongmuNo.1,51.14,15472779,NotImp
1,ZhongmuNo.1,51.14,15569783,NotImp
1,ZhongmuNo.1,51.93,16216550,NotImp
1,ZhongmuNo.1,51.93,16227767,NotImp
1,ZhongmuNo.1,52.63,16240214,NotImp
1,ZhongmuNo.1,53.23,16835838,NotImp
1,ZhongmuNo.1,54.18,16852520,NotImp
1,ZhongmuNo.1,54.18,17229182,NotImp
1,ZhongmuNo.1,54.19,17969833,NotImp
1,ZhongmuNo.1,54.19,18058933,NotImp
1,ZhongmuNo.1,54.19,18058959,NotImp
1,ZhongmuNo.1,54.19,18059720,NotImp
1,ZhongmuNo.1,54.19,18059869,NotImp
1,ZhongmuNo.1,54.19,18692861,NotImp
1,ZhongmuNo.1,55.32,18693025,NotImp
1,ZhongmuNo.1,55.32,18777233,NotImp
1,ZhongmuNo.1,58.72,19846749,NotImp
1,ZhongmuNo.1,58.72,19846800,NotImp
1,ZhongmuNo.1,58.72,19847840,NotImp
1,ZhongmuNo.1,58.72,19847848,NotImp
1,ZhongmuNo.1,59.78,20247809,NotImp
1,ZhongmuNo.1,63.02,23119149,NotImp
1,ZhongmuNo.1,63.02,23134470,NotImp
1,ZhongmuNo.1,69.53,23134537,NotImp
1,ZhongmuNo.1,69.53,23254478,NotImp
1,ZhongmuNo.1,72.71,24901592,NotImp
1,ZhongmuNo.1,72.71,24979999,NotImp
1,ZhongmuNo.1,72.71,24980115,NotImp
1,ZhongmuNo.1,72.71,24980156,NotImp
1,ZhongmuNo.1,72.71,26051457,NotImp
1,ZhongmuNo.1,72.98,26692505,NotImp
1,ZhongmuNo.1,72.98,26692604,NotImp
1,ZhongmuNo.1,72.98,27599298,NotImp
1,ZhongmuNo.1,72.98,27702534,NotImp
1,ZhongmuNo.1,72.98,28131760,NotImp
1,ZhongmuNo.1,72.98,29056299,NotImp
1,ZhongmuNo.1,75.24,29327545,NotImp
1,ZhongmuNo.1,77.51,32203759,NotImp
1,ZhongmuNo.1,77.51,32204162,NotImp
1,ZhongmuNo.1,77.51,32285793,NotImp
1,ZhongmuNo.1,77.51,32286348,NotImp
1,ZhongmuNo.1,77.51,32292387,NotImp
1,ZhongmuNo.1,77.51,32292389,NotImp
1,ZhongmuNo.1,77.51,32303033,NotImp
1,ZhongmuNo.1,77.51,32883414,NotImp
1,ZhongmuNo.1,77.52,33727161,NotImp
1,ZhongmuNo.1,77.52,33759563,NotImp
1,ZhongmuNo.1,77.52,33759564,NotImp
1,ZhongmuNo.1,77.52,33760055,NotImp
1,ZhongmuNo.1,77.83,33760190,NotImp
1,ZhongmuNo.1,77.83,34890401,NotImp
1,ZhongmuNo.1,78.97,39171894,NotImp
1,ZhongmuNo.1,78.97,39171999,NotImp
1,ZhongmuNo.1,78.97,39299257,NotImp
1,ZhongmuNo.1,80.15,39790784,NotImp
1,ZhongmuNo.1,89.93,39790979,NotImp
1,ZhongmuNo.1,89.93,43470992,NotImp
1,ZhongmuNo.1,89.93,44291488,NotImp
1,ZhongmuNo.1,89.93,44291553,NotImp
1,ZhongmuNo.1,94.65,45464597,NotImp
1,ZhongmuNo.1,94.65,45699600,NotImp
1,ZhongmuNo.1,94.65,52288014,NotImp
1,ZhongmuNo.1,94.65,52541488,NotImp
1,ZhongmuNo.1,94.65,52541596,NotImp
1,ZhongmuNo.1,94.65,52541606,NotImp
1,ZhongmuNo.1,94.65,53639040,NotImp
1,ZhongmuNo.1,94.65,53639043,NotImp
1,ZhongmuNo.1,94.65,53723240,NotImp
1,ZhongmuNo.1,94.66,53723427,NotImp
1,ZhongmuNo.1,94.84,53723740,NotImp
1,ZhongmuNo.1,94.84,54153825,NotImp
1,ZhongmuNo.1,94.84,54153829,NotImp
1,ZhongmuNo.1,94.85,55314096,NotImp
1,ZhongmuNo.1,94.85,55314108,NotImp
1,ZhongmuNo.1,97.07,55805844,NotImp
1,ZhongmuNo.1,97.07,55805952,NotImp
1,ZhongmuNo.1,97.08,55805988,NotImp
1,ZhongmuNo.1,97.99,56393212,NotImp
1,ZhongmuNo.1,98.69,56820696,NotImp
1,ZhongmuNo.1,98.69,56820727,NotImp
1,ZhongmuNo.1,99.46,57526662,NotImp
1,ZhongmuNo.1,99.46,57526830,NotImp
1,ZhongmuNo.1,99.46,57865320,NotImp
1,ZhongmuNo.1,99.46,58109509,NotImp
1,ZhongmuNo.1,99.46,58109688,NotImp
1,ZhongmuNo.1,99.47,58109699,NotImp
1,ZhongmuNo.1,99.47,58109733,NotImp
1,ZhongmuNo.1,99.47,58499539,NotImp
1,ZhongmuNo.1,99.47,58870677,NotImp
1,ZhongmuNo.1,99.47,58874124,NotImp
1,ZhongmuNo.1,99.47,58874168,NotImp
1,ZhongmuNo.1,99.47,58874233,NotImp
1,ZhongmuNo.1,99.47,58874247,NotImp
1,ZhongmuNo.1,99.47,58874280,NotImp
1,ZhongmuNo.1,99.47,58874318,NotImp
